Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
737.567,1.77,1,1,49417,1566985,1641364,1414022
837.623,1.75,908534,952612,961008,1149199,997930,1204426
532.3429,1.23,843581,1074269,924906,1182540,985914,1014270
454.4137,2.46,1116028,1240008,1159022,989223,1183053,1379135
285.2416,1.34,150156,284961,398752,149076,107951,80989
129.079,8.77,610216,609402,533304,438679,483118,317123
189.1225,7.67,667449,719547,638632,465698,451200,296857
576.5122,5.77,1086217,1130937,962829,81750,74029,78394
351.2771,2.15,553368,514231,522163,702503,892115,602676
364.0984,8.05,453398,362929,362026,331382,317788,294017
123.0173,9.22,371617,466846,423409,725601,715771,589807
812.678,1.78,947201,976142,705122,851315,880864,737784
496.387,1.45,983681,1000163,891582,971923,934636,879999
2094.0431,7.13,647851,711350,717186,729721,1261394,1120861
773.5928,1.76,1387067,1036036,1450454,1128202,1014685,1017088
141.0189,8.62,106008,735636,330469,632359,362805,628057
724.593,1.77,5351,1,1,1354471,1376943,1144320
531.9212,9.67,431022,341135,334510,420041,299749,395946
829.6318,1.79,1,147356,173393,811243,949794,1161991
708.6167,1.78,1,1,1,1153284,1193184,921250
217.936,6.8,592044,572765,580854,436855,647981,409882
753.5348,1.77,1,1,1,950146,1,741597
722.5854,1.77,1,1,1,1297070,1308150,1030812
211.1062,8.87,1,1,1,619398,596236,435591
736.5676,1.77,1,1,1,812951,1,848719
761.5213,5.62,1208915,1147100,1047021,251260,261502,246953
78.9822,6.8,476585,448503,518366,468862,567651,428355
620.1246,8.87,1,1,1,703542,714343,634432
455.361,1.44,1683114,1735903,1577300,1605839,1590215,1588178
266.0404,9.23,764318,826569,783104,687229,807211,564100
536.1423,1.2,47637,64762,66817,69614,73654,74551
768.5489,1.77,1251760,1146673,1318967,1343964,1301371,1296778
296.9837,9.66,3426023,4096366,800137,3649517,4542723,1048191
367.4178,1.51,125844,132877,46680,45477,65301,32601
487.3517,1.31,1,12702,19383,12653,12970,7253
