Sample,3-hydroxyisobutyrate,3-hydroxyisovalerate,acetoacetate,adipate,alanine,AMP,arginine,asparatate,cholesterol,choline,glutamate,glutamine,GSSG,inosine,isoleucine,leucine,lysine,malate,methionine,N-acetylglutamate,OAG,PE,pyruvate,trimethylamine,tyrosine,w-3 fatty acids,methylguanidine,3-hydroxybutyrate,asparagine,Group
B5,0.304788,0.301466,0.0907369,0.0632005,0.523019,0.0953121,0.213206,0.083079,0.308709,0.123565,0.434536,0.290728,0.223513,0.156783,0.147344,0.430617,0.179203,0.0539008,0.062188,0.110819,0.38755,0.847399,0.451042,-0.00117406,0.052735,0.110765,0.0404583,0.312211,0.00949304,BOS
B6,0.380009,0.302724,0.118701,0.106204,0.520787,0.0925412,0.260397,0.101265,0.222675,0.0848797,0.346926,0.261363,0.294487,0.123734,0.149471,0.371729,0.163281,0.066551,0.0709402,0.127174,0.385119,0.729577,0.386835,0.0213837,0.0548747,0.111942,0.0681253,0.245453,0.0284272,BOS
A1,0.38328,0.312351,0.0827097,0.0412569,0.534498,0.0271308,0.190027,0.080474,0.236839,0.0977038,0.352205,0.261597,0.224459,0.168869,0.142554,0.36486,0.160803,0.0364383,0.0420483,0.0990978,0.396732,0.714398,0.364846,-0.0204978,0.0648582,0.0384917,-0.019775,0.158936,-0.0121159,AMO
A2,0.438798,0.326324,0.122839,0.115696,0.63428,0.0771002,0.22487,0.0961464,0.260329,0.193251,0.366276,0.286701,0.300136,0.14971,0.152439,0.341896,0.0984939,0.0688135,0.0645744,0.134305,0.402139,0.942779,0.404922,0.0130244,0.0254511,0.120389,0.0594344,0.263973,0.00768701,AMO
A3,0.484421,0.257515,0.0933641,0.0905077,0.613194,0.153731,0.170728,0.0738917,0.401338,0.189606,0.333532,0.273443,0.227006,0.133653,0.138184,0.324207,0.0818984,0.0534506,0.0530227,0.1114,0.357431,1.20069,0.326803,0.0088828,0.00926749,0.153371,0.125923,0.366465,-0.00614629,AMO
A4,0.298444,0.290485,0.121716,0.110016,0.63,0.19936,0.234149,0.105424,0.397661,0.299758,0.369324,0.291044,0.304891,0.11968,0.149712,0.363897,0.155091,0.0630078,0.0621067,0.129741,0.416619,0.675733,0.389507,0.030299,0.0365912,0.180112,0.134721,0.389973,0.0270244,AMO
A5,0.336176,0.339714,0.159564,0.119101,0.778232,0.0909977,0.215072,0.127112,0.29961,0.300297,0.403872,0.332723,0.324061,0.0810044,0.185177,0.364946,0.0516136,0.105263,0.100418,0.1606,0.463992,0.957655,0.412304,0.0619618,0.0327223,0.139497,0.150994,0.2811,0.0336321,AMO
A6,0.368828,0.270046,0.102432,0.0939749,0.63141,0.183757,0.181154,0.0754029,0.511601,0.270049,0.328228,0.303054,0.26759,0.13812,0.137225,0.345986,0.0745284,0.0470504,0.0476959,0.120475,0.399227,1.31267,0.330373,0.0190427,-0.00518784,0.185379,0.140797,0.458964,-0.0198471,AMO
AB1,0.412515,0.273423,0.152678,0.153279,0.433362,0.0727752,0.283174,0.117532,0.162103,0.0395229,0.298504,0.251555,0.317275,0.112022,0.160345,0.321187,0.138098,0.0916132,0.0914505,0.151025,0.339136,0.815764,0.373742,0.0475651,0.0526927,0.125538,0.0862746,0.222502,0.0518571,BOS+AMO
AB2,0.336366,0.270682,0.139349,0.117957,0.520841,0.259738,0.240812,0.089992,0.46218,0.145281,0.328547,0.291751,0.302073,0.152605,0.139847,0.38202,0.151168,0.0474769,0.0425961,0.127136,0.390475,1.10944,0.350957,0.00694507,0.0317079,0.189776,0.141938,0.459625,0.0147225,BOS+AMO
AB3,0.24177,0.349285,0.148745,0.193485,0.581605,0.341493,0.335748,0.162583,0.513011,0.2105,0.384783,0.306831,0.359748,0.143504,0.165103,0.406147,0.177937,0.109838,0.10165,0.167728,0.403056,0.918574,0.437346,0.0762039,0.0828395,0.199992,0.234962,0.447875,0.0868456,BOS+AMO
AB4,0.348211,0.277742,0.124605,0.164379,0.548554,0.262651,0.271809,0.118895,0.422439,0.0774417,0.342634,0.270716,0.310245,0.136792,0.14734,0.387533,0.159463,0.066415,0.0691846,0.139025,0.382137,1.30908,0.357217,0.0305168,0.0359468,0.165481,0.162819,0.39101,0.0329457,BOS+AMO
AB5,0.393112,0.277696,0.123451,0.112114,0.598106,0.148005,0.229701,0.0967611,0.332523,0.129325,0.327513,0.263842,0.31337,0.150145,0.146622,0.342691,0.123328,0.0657938,0.0610722,0.130623,0.397484,0.959435,0.359202,0.0209735,0.0310216,0.147299,0.093666,0.324454,0.014733,BOS+AMO
AB6,0.312634,0.3419,0.139484,0.154443,0.742653,0.109413,0.262158,0.129022,0.305536,0.28003,0.374466,0.329918,0.331434,0.0907091,0.171242,0.391995,0.138614,0.0927083,0.103131,0.163036,0.442694,0.788227,0.379684,0.0529471,0.0570233,0.1532,0.13857,0.296053,0.03266,BOS+AMO
