Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
218.131,1.63,6657,10598,7056,4319,4474
218.1525,1.49,13472,11478,10801,12562,11179
218.1529,1.54,18614,12158,36261,17061,35976
218.1646,0.36,13762,15330,13896,15113,16383
220.0669,1.59,3636,3219,3203,2573,2482
220.131,1.43,36665,27069,14380,22045,17427
220.1676,1.51,313650,293963,276638,264942,260461
222.0562,2.03,7892,10092,7669,6618,6445
222.0887,1.66,10323,7279,10442,5958,6652
222.1474,1.31,46641,34701,38308,34371,5133
222.1856,0.34,5451,5681,6216,6286,5867
223.1208,3.38,112035,85399,63267,42820,46500
223.1419,1.4,83060,63138,58186,53006,52682
223.1783,1.43,131934,106473,88376,94134,86182
225.1732,1.49,43708,47291,40926,46293,43028
225.9443,0.31,175621,176179,178856,177308,184471
226.1178,0.35,19065,17058,19697,18970,17492
226.1595,0.56,88401,90198,80729,100459,90477
227.1287,1.54,21062,23046,32033,21045,17683
227.189,1.58,661946,644937,528468,495734,475494
227.2251,2.06,16029,13058,14324,10024,8612
228.0329,1.07,4007,6395,7073,2218,7164
228.061,1.62,15987,14253,14637,14473,13922
228.1751,0.67,115234,119434,129928,127687,127082
228.9682,0.48,3335,2795,3524,3520,3052
229.0403,1.18,7346,11925,11748,17594,14070
229.1367,0.34,61682,57130,59210,57081,58614
229.1677,1.55,61138,51837,43398,40544,42339
229.2404,1.49,16856,24023,21960,11732,14316
229.9753,0.47,24178,27937,31003,41834,28374
230.0764,0.49,6316,6550,5524,4942,5070
230.1374,0.36,21618,23706,17131,16568,16159
230.1561,1.41,53503,48558,44054,31488,33308
231.0193,0.54,14549,13736,12712,12441,12527
231.1045,1.71,5281,6417,3553,4944,3491
231.8886,0.33,10875,11772,10498,11151,11041
232.1676,1.41,132441,91244,79513,80551,68379
232.1687,1.46,76099,19672,15813,107811,108665
232.9746,0.48,27091,23137,25481,27557,31461
233.1575,0.36,30293,24929,26803,24055,28172
233.1736,0.3,3131,3354,3640,3383,4362
234.019,1.19,12436,12887,19967,18083,13984
234.1467,1.46,392053,316077,296190,277169,259604
234.147,1.52,74368,52954,74901,48260,40752
234.1835,1.58,537685,518645,492237,498358,471244
235.1783,1.54,38930,20795,22971,19074,21024
235.2161,1.63,48390,47227,33310,1311,46784
235.9907,0.36,3636,7339,1924,7426,8956
236.0948,1.52,13582,8188,8332,8183,6188
236.1627,1.36,47947,42949,43527,41436,36872
236.1804,1.36,61731,51354,60905,52297,50471
237.1573,1.43,30559,23270,15080,22691,15023
237.194,1.51,83756,66469,81860,80718,74136
237.1941,1.33,5047,7190,7271,6455,6000
237.1944,1.57,34064,32163,24690,28161,23245
238.0365,0.55,12722,11429,12850,11327,9224
238.0631,1.84,4872,4689,2676,2181,1978
238.1207,1.59,188636,52701,54814,144818,33573
238.1208,1.58,185284,172811,157329,150849,143773
238.1424,1.27,92829,75952,77237,74193,72208
239.043,1.67,2446,1816,2220,1585,1683
239.1375,1.3,17604,26038,17075,22529,19899
241.1784,1.23,138286,149754,145766,154291,154821
241.2407,2.1,5046,4787,3686,3295,1886
241.2764,1.59,31008,29791,28431,22361,20441
241.277,1.52,73593,62498,56001,52448,51425
241.9182,0.32,21592,23190,19947,21348,21685
242.0769,1.67,16454,15624,18409,15467,13427
242.1414,1.32,7628,4886,38370,36136,35452
243.1836,1.49,232462,199811,222466,216474,209755
243.1945,1.27,263944,289543,303692,316309,318666
243.2198,1.72,24822,14818,14294,10507,13590
244.0693,0.48,6409,6164,7305,6482,9958
244.1699,1.03,39707,57436,57498,65655,66011
245.1628,1.3,42857,33137,39233,35072,35520
245.1629,1.6,23579,12058,12454,10494,39900
245.2353,1.43,14922,11045,14538,9936,12247
246.1217,0.72,24445,28942,31752,32829,35233
246.1371,1.29,115765,118424,112072,111103,116159
