Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
836.5402,1.74,254527,383565,247942,180622,195212,184276
362.1946,1.25,279118,299170,274400,278848,289352,275312
79.9662,8.45,137117,227546,95035,51469,389816,261723
834.5263,1.74,421286,390315,352136,160956,163353,152044
131.0497,7.32,94182,103922,97939,99271,54370,52719
787.5365,1.74,534843,520589,501868,144560,138433,147139
170.9928,8.6,473,1,1,125995,156677,266168
134.0216,8.72,1,1,131614,1,1,1
340.2075,1.34,143315,104018,87803,95207,132372,104317
131.0948,6.73,161142,180452,517261,348818,414792,86018
304.2404,1.29,115118,134225,150406,158554,194934,225115
741.5303,1.73,443567,437856,426429,241751,244105,232139
150.0622,7.08,20675,35348,173615,179784,52125,175659
122.0369,1.98,315391,191515,54121,403686,2348,20555
557.1717,8.1,195677,184100,387583,244657,238133,220270
130.0065,5.61,209940,233040,215244,170159,172465,267622
116.011,8.02,133990,175226,150705,70316,102785,48997
97.9769,8.69,1,36589,1,1,1,1
860.0823,7.14,373746,383436,364600,355140,331889,307535
143.9827,6.81,242777,125971,259910,178775,192157,173289
746.559,1.73,238403,236072,252110,1,1,1
820.5259,1.47,409635,437718,377029,116781,118761,116074
789.5527,5.58,1690654,1541098,1545419,622534,451357,631184
134.0216,8.99,156973,1,1,25459,49716,18918
152.0475,1.36,9260,2317,7746,46659,16806,57245
840.0373,7.16,131778,318770,165156,353915,207812,235580
299.966,1.32,1,1,1,1,1,1
135.9018,5.44,698755,111094,352166,9978,129974,799188
89.0476,7.64,114972,95545,91642,74488,96123,6239
758.0325,7.15,258712,163447,109235,121034,143589,188893
177.0548,7.9,7123,6035,1,199539,230268,89027
258.8265,5.32,237364,214969,196430,1,191197,1
256.8295,5.32,238926,235755,213637,48654,195741,174919
182.0773,7.15,378876,136750,89410,119767,256918,109818
837.5485,1.74,587294,568150,429661,182907,179178,180353
830.6331,1.73,1,7096,7384,420628,412736,408292
216.04,6.75,80047,51613,217702,116557,362144,156999
689.5,1.73,331304,318052,304854,92556,93913,96823
321.0694,8.73,154854,198571,184250,18071,53170,6111
891.5726,5.63,1,6155,1,418135,343849,418981
1003.0549,7.14,432303,428450,450197,462586,718446,666002
748.1055,1.25,125714,104855,121901,233706,204359,200746
299.1217,7.76,239374,239341,230692,175543,229249,143306
533.9889,9.68,83600,63146,106719,87361,69352,116389
317.1331,8.6,32784,34701,71966,44426,11865,52257
328.2399,1.29,141412,159235,154422,192280,182643,215219
367.0566,1.24,59766,111039,47524,68128,93469,127530
512.0246,7.15,139395,141869,126371,131182,66593,85048
196.0584,8.68,1,3797,1,91032,77714,1
132.0035,5.46,103414,106630,145435,299952,108157,169955
128.0085,7.1,141542,143687,159361,100171,141557,146986
912.5704,1.75,424586,405974,399640,181752,149695,141979
351.0765,8.17,1,1563,977,168736,201642,138507
452.0939,8.1,149349,168038,181859,49304,64855,35712
746.5095,1.72,1,1,1,309978,335299,336198
759.6003,1.73,1,7805,1,1,1,1
597.5327,1.25,305724,321248,228875,77842,114029,94870
846.6894,1.73,95154,85094,97128,303192,307436,272518
93.047,7.23,27279,138787,148449,147105,9222,139202
912.5694,5.63,433412,428954,400737,142371,105602,127199
137.8991,5.48,108200,27655,81839,3892,129175,91110
182.0774,7.11,410110,333309,311550,316813,70842,239375
314.0515,8.38,175317,183937,151788,5505,9440,5504
663.1083,8.75,269034,272826,247703,23543,25601,21275
861.5386,1.77,300568,224420,254490,111144,109713,106794
192.0271,8.58,73367,71706,52721,39350,132510,22300
368.0747,8.63,1539,1,1,148639,168931,174886
779.579,1.73,42569,1,40706,334121,337244,338604
832.6393,1.73,8190,9725,10273,395470,392683,372285
216.0404,5.75,124214,197162,136446,62224,627282,157292
240.0016,6.82,190770,194224,196935,160169,208811,156484
180.0635,8.22,167389,160675,153378,95261,143388,80339
260.0984,7.76,182876,183590,175253,118384,155986,68760
374.0178,7.16,422598,447011,251372,153618,270778,313433
320.1021,8.38,26525,27423,29840,49972,32937,60817
258.8264,5.64,474291,510892,527144,506784,554397,562945
209.9418,5.64,228672,166831,177397,200698,82686,166735
