Mass (avg),RT (avg),[Area] QC1-NEG,[Area] QC2-NEG,[Area] QC3-NEG,[Area] QC4-NEG,[Area] QC5-NEG
230.1514,1.53,4992,8705,9296,10009,9157
230.188,1.75,12205,10026,8189,11580,11383
231.9073,0.33,12568,13090,11611,11451,12658
231.9628,3.44,20348,4474,4981,3761,2685
232.0139,1.51,20853,26787,15713,15281,22849
232.0888,0.34,16091,15937,17225,16723,18118
233.066,0.81,5666,5808,19109,14556,25757
233.0662,0.7,4866,4859,2418,7502,3787
233.0662,0.7,6592,10371,2418,3538,4073
233.9033,0.33,2782,2084,2618,2463,2825
234.0546,0.36,6667,5950,7412,7953,8428
234.1626,1.82,5109,4380,4318,4052,4295
236.1051,1.48,9031,11310,10617,8913,11367
239.0798,1.85,2794,2523,2882,2988,2751
239.9392,0.32,26431,25763,26817,24895,26380
240.0022,1.54,25791,32268,18839,24049,23444
240.0022,1.53,6947,3659,10744,8405,4809
240.0995,1.53,37057,36225,40565,42710,43565
240.1,1.59,3593,5410,3525,4025,3387
240.1364,1.68,5197,3442,4481,4128,4135
240.1723,1.7,1693,1971,2490,2613,2067
241.0562,0.5,4914,6038,5080,5451,6137
241.1782,1.24,11404,23484,3875,25325,7626
241.9355,0.32,10111,8128,8769,8669,9265
241.9978,1.57,26359,39093,24862,19511,26118
242.0176,1.52,46900,58467,47192,21385,47486
242.0946,1.6,2926,3035,4121,4047,3664
242.1266,1.34,5870,8311,7880,8095,8087
242.1514,1.55,3774,3767,10671,6475,4070
242.906,3.5,59860,82704,58903,51600,54626
243.0593,0.35,3956,4640,4068,4781,4374
243.1834,1.5,24267,28612,28262,28553,32764
243.8726,0.33,2372,3344,2868,2773,2240
244.1673,1.57,3793,4498,6841,5575,6762
244.2037,1.8,5355,9855,3591,12833,3418
244.2039,1.82,8864,9855,9097,801,8974
244.9079,3.51,10225,10025,8745,10609,13895
245.9151,1.78,17904,15898,13244,12778,12221
246.0561,1.46,13626,18614,21821,21595,22409
246.1222,0.73,5382,7485,10618,7852,3049
247.9122,1.78,18042,15571,13231,12241,10959
248.0081,1.51,52691,50576,52427,55404,36963
249.1723,1.81,2352,2252,2543,2237,1959
249.9092,1.78,6412,5334,3700,3568,3412
249.9679,0.31,73856,75800,71258,70520,75206
250.8729,0.63,6764,4043,6887,593,1834
250.8733,0.47,17910,19922,13530,13416,15139
251.1519,1.91,11742,9158,9027,8297,8628
252.0994,1.59,4276,20259,4978,3761,4784
252.1032,1.64,16172,20231,17699,17148,17862
252.87,0.49,14280,16951,16867,14714,18031
254.0897,1.73,2584,2166,1862,1942,1440
254.1515,1.62,6147,5480,6059,4839,6761
254.8673,0.47,8663,3241,9308,6166,4609
255.9129,0.32,1936,1935,2461,2830,1872
256.095,1.38,13460,16538,15175,14258,15559
256.1671,1.59,4076,5111,4173,4328,3637
256.8297,0.64,54919,39303,1251,47705,52468
257.9926,1.58,23756,31123,22217,30565,20672
258.1465,1.48,10134,3710,18884,5557,2396
258.1831,1.61,4185,4805,5557,7771,7248
258.2198,1.88,8153,6925,7188,8269,5249
260.0036,0.49,23214,8314,8911,15544,19913
260.0037,0.5,6996,18181,17801,15544,19718
260.004,0.47,7462,22686,7471,3792,8172
260.1376,1.28,18792,16421,17747,20037,16998
261.9868,0.38,4980,8422,6861,8709,5239
262.1425,1.38,3455,3136,3859,3418,3490
263.9071,0.44,6691,5584,7828,890,8491
263.9073,0.42,8112,32405,25547,31082,26906
263.9075,0.45,4660,13576,3267,3432,2271
264.1109,1.32,24806,26031,28982,26814,27968
264.1114,1.38,1650,2882,2203,2983,969
265.1677,1.9,2147,3038,2476,2408,
265.9045,0.41,32077,31728,23580,10149,17261
265.9048,0.38,3603,5057,4213,4608,20462
265.9417,0.31,3114,3535,3542,2992,3568
265.9982,1.55,55110,36641,48313,37088,37166
266.1548,2.21,29617,30264,34188,29665,31976
266.8842,3.5,41032,31976,30926,27746,27153
267.9394,0.45,16983,16935,15973,17784,20583
268.0644,0.31,1582,1664,1815,1689,1230
268.1305,1.66,3128,3670,3004,4027,3626
268.1312,1.63,22999,27830,27522,27400,29367
270.0323,0.49,5300,4951,4541,5537,6014
270.0614,1.75,41470,37217,33876,32887,27984
270.095,0.49,27410,21665,11834,23241,18709
271.8496,0.41,6453,3306,6574,3390,3931
271.9677,0.49,9762,6714,13068,8365,15506
272.0094,1.53,20974,24430,24719,15460,22236
272.2347,2.02,6341,16035,3429,15951,1736
272.2351,2.1,16840,16035,13925,15961,13844
273.9366,0.51,2724,12139,2301,937,12202
276.1159,0.35,14871,12947,13830,12931,14789
277.9991,1.51,46868,49359,42548,43694,47825
278.081,0.39,3804,587,2767,3527,2416
278.0812,0.35,23269,25330,27292,25951,27213
278.1516,1.75,2509,3922,3756,2925,2660
278.1525,1.96,2127,2364,2109,2381,2886
279.1699,1.27,1849,2980,2322,3340,2555
279.837,0.34,27112,24202,23181,23195,22072
280.0144,1.53,35599,47372,32811,26271,39447
280.0438,0.5,9142,8430,9035,8921,9410
280.0483,0.35,4406,3014,2943,5144,7412
280.096,0.35,1221,2843,2862,1510,1445
280.1309,1.57,2386,3162,3868,2947,2964
282.0803,0.31,2806,3122,2314,2293,2501
282.11,1.47,3485,3489,3686,3712,3785
282.2558,2.5,8288,7024,6058,5412,5984
283.9448,0.5,13324,5665,6406,4280,4433
284.0082,1.57,41299,41934,58676,46645,30312
284.1005,0.35,8158,10050,9801,8989,8846
284.1982,1.66,3978,3470,4442,3223,2175
285.203,1.41,3139,3322,2681,2745,2089
285.9406,0.49,3598,3914,4283,5027,6072
286.133,1.63,8153,9866,9572,10642,11180
286.2148,1.7,4449,3096,4876,4499,3302
286.2507,2.04,4381,8174,7292,7734,7506
287.1521,1.67,2110,2138,2586,2193,1807
287.8688,0.33,19267,18399,19116,18068,19913
287.9343,0.49,14045,7362,3956,4995,3733
287.9771,0.5,6221,6061,3576,4392,5553
288.1287,1.95,9466,10573,6816,11589,12636
289.8655,0.33,17138,18581,18253,19146,20051
289.8843,0.5,11713,9949,11309,10847,10721
289.9234,0.45,19926,15512,18011,17933,15469
290.0172,1.51,21442,16743,71488,69311,5606
290.0182,1.5,27479,61403,35875,16192,25268
290.0944,0.31,1979,1728,1781,1606,2288
