Mass,RT,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3,SXT-col-7d+13c6-phe-1,SXT-col-7d+13c6-phe-2,SXT-col-7d+13c6-phe-3,SXT-col-2d+13c6-phe-1,SXT-col-2d+13c6-phe-2,SXT-col-2d+13c6-phe-3
275.0792,6.55,4934377.885,4338343.188,4666957.598,5235053.338,5712181.421,5778085.345,3094851.108,3470791.591,2884797.169
714.48,5.28,7074967.404,6782014.098,6955430.59,6312489.831,4879776.323,5724450.766,4983541.235,4671668.881,4811977.913
496.2793,13.65,52612.55757,17857.70551,39786.65838,6527805.629,3825532.874,5115956.759,6423.248312,4091.726553,1
480.1132,4.42,257974.095,369645.6433,26600.94488,97913.98566,245068.7006,146104.1137,424561.0171,10108.28855,545623.1476
1063.7611,5.95,5854171.436,5603848.312,5733472.184,4031002.221,2674373.816,3327249.239,2199415.931,2242952.071,2410743.834
450.2643,14.91,1,1,1,1,351044.2471,38484.96896,8125981.835,6623014.99,1
600.1779,4.3,1,1,1,3828242.073,1902919.403,2714029.621,5685015.39,5982438.97,4127858.173
484.2791,14.64,1,1,1,1,1,1,1949846.854,2631387.603,2254819.41
823.5357,18.12,4835384.885,2420407.806,3480851.048,1,1,1,3536522.479,5087945.563,3736470.719
746.2364,3.64,1,124163.9306,114959.069,3446831.391,3367799.876,3295917.247,5773662.147,5539737.024,3312301.518
552.184,6.79,3805372.113,3415913.874,4286175.245,3501585.705,5705063.098,3462801.006,2772836.325,3977700.741,4653006.646
896.5169,15.13,1,1,1,1,1,1,1,1,1
342.1118,8.18,4386449.57,3979229.25,4180837.795,4622812.874,3888881.788,4284145.243,3292358.398,3495028.624,2815556.277
756.2119,3.4,5589183.424,5343724.94,5454005.48,2027050.811,2503096.138,2280609.779,2178014.734,2344632.484,2763120.018
134.0219,1.2,1392455.466,1278396.212,1362196.769,3593308.192,4945836.489,1753131.721,2308220.769,2347693.101,1743910.456
484.28,14.38,1,5365615.207,8525604.687,4542141.37,1,1,1,1,1
152.0568,3.35,1,1,1,127093.3474,64164.45707,92285.93931,5447104.739,5856174.401,4284378.769
131.0584,1.33,1339753.835,1994984.877,1683609.77,614252.1872,599941.9057,577148.2485,1864273.337,3767207.833,5444742.69
827.5645,5.54,5572866.996,5469641.656,5535922.531,5255246.948,3975533.404,4641559.137,4183436.588,4022311.967,4093582.843
421.0536,2.7,195765.2459,53407.33018,129672.4656,4816379.828,4417940.975,4601578.218,12796.63346,141343.288,43951.48408
741.4995,5.27,3922403.389,3793684.105,3762558.726,4644436.702,3997537.589,4379823.472,4090563.223,4029540.029,3957478.005
870.4991,14.24,10575.25387,1,1,3382561.342,5341350.35,4459079.136,1,8786.07001,18045.10759
272.2347,15.2,1018614.844,747043.2809,924035.8193,619599.4422,839615.5039,731935.5192,569819.0413,616872.9583,537309.4896
450.2748,21.25,1296027.818,3840972.321,2585941.934,7142885.898,1534136.312,2549720.372,216210.0393,1,26085.6761
490.2298,14.06,2104230.335,2819368.466,1763118.408,10177763.03,9079734.437,9373825.732,1,1,1
342.1313,2.94,760883.178,777566.7015,786598.002,2342902.067,2571851.08,2455105.747,178711.4743,341066.4236,623905.2092
420.2276,12.69,1535023.718,3043878.168,2382627.24,4446412.468,5230000.138,4564436.12,1969535.451,1941496.253,1926906.609
872.5372,16.35,1,1,1,1222.182599,11243363.72,1,1,1,1
504.2795,12.07,1,1,1,4398570.953,5143024.016,4807987.718,1,1,1
363.0119,12.53,4597844.06,2155633.129,3398892.273,2834730.15,2050785.491,2542716.347,1809582.974,1429800.833,998954.6859
323.1002,4.18,1152491.546,1443212.159,1320604.433,4099794.015,3858628.802,3997498.284,828273.9212,1194797.719,1705356.68
825.5515,19.48,5508905.293,2841196.46,3733175.816,1,1,1,3710852.957,4151478.749,3863195.903
266.1549,12.66,4187165.183,2602088.946,3387505.207,1822149.019,1517020.234,1391525.236,2202960.544,1974040.684,1765269.536
740.2173,4.26,4795260.065,4426516.531,4676244.966,2068800.07,2299422.393,2177797.41,2449789.246,2832412.063,3152308.795
445.1438,7.5,2067604.207,2525442.772,2280930.194,2247055.919,2224386.923,2369342.509,2406715.941,3006371.393,4052784.052
500.2149,12.71,4038446.641,4434711.993,3480303.936,1975095.16,1234053.626,1304219.127,3128350.255,2971064.018,2871206.611
524.1791,8.44,309604.4293,230843.6915,271563.6968,1970412.662,3615013.813,2736023.457,254710.8907,212013.1884,159314.9595
348.1777,13.65,4730986.106,4393672.466,4492158.754,1829035.205,204032.8276,662653.7728,644584.1713,636461.0049,703677.3722
326.0999,3.35,1191385.177,1427394.785,1353163.023,3695598.333,3916995.698,3817228.254,1711623.449,2076829.485,2257398.049
213.1095,4.65,1,1,1,875518.312,771871.9552,823325.8949,2951447.924,3598004.84,4627264.208
978.1242,3.73,1361992.94,1923271.761,1666172.483,2752310.291,3066926.543,2882040.127,1776317.074,2640878.049,3626130.09
467.2651,10.93,2681.500135,6000.23288,8443.808087,3522570.123,1462732.618,2415524.135,2524.51074,7374.096634,1
294.219,13.67,314267.2559,285100.4753,292347.3004,56168.26552,1,1,167578.9874,113182.2381,119759.5609
856.4853,13.65,25562.12835,1,1,4796642.948,3313258.414,3771898.798,1,2805.635395,1
148.0738,1.79,1041016.219,1004055.296,1022851.707,3895920.257,4587610.289,4270367.344,3206576.242,4005406.404,2608133.055
133.9307,21.26,723406.8124,380985.1924,2119977.597,815709.9872,1061285.786,759176.0052,4246514.253,1060463.295,882109.7401
522.2095,4.8,1747686.06,2024838.664,1933634.689,4127871.76,4464369.232,4214992.441,654140.0701,949678.3848,1291273.055
601.3954,4.9,4869603.196,4450876.384,4665452.652,3655154.624,1876308.501,2693437.387,2701404.079,2286035.196,2549793.263
506.2256,12.2,8390.284799,5346.258753,10169.66482,3531496.935,4067444.698,3762367.084,1,1,1
548.1834,14.48,1,2676631.484,1589591.757,5059525.839,1,469018.0721,1,1,1
460.2579,13.94,4271184.488,1889971.076,2879825.734,490850.5101,474814.1347,470902.8247,1,1,1
481.0719,4.4,1564651.261,1937577.364,1801408.454,3000223.33,3665301.842,3368924.421,2094530.19,611761.079,2234474.71
352.1371,2.81,1523409.444,1612057.574,1512387.595,4197120.641,4239812.81,4316480.435,2053153.95,2805911.663,2871536.162
898.458,12.16,1,1,1,2484000.156,4061017.233,3201745.817,1,1,1
464.2899,14.31,185667.8539,1,14138.25987,17113.52767,4936560.69,6041553.431,1,1,1
628.4144,4.89,4433149.21,4112146.744,4293569.003,3067460.171,1811984.708,2485451.164,2604976.988,2302666.309,2393547.802
558.0276,4.42,893107.3684,1216164.623,1032385.631,2337557.194,3642459.793,2989431.48,1298952.691,1437584.063,1632957.504
410.2432,14.38,1,659707.5967,367151.918,770336.704,1,1,1,1,1
978.2117,6.37,2585737.023,2491127.501,2537321.383,3549703.477,3753401.536,3697820.581,3087531.5,3110440.28,3253168.742
484.2797,14.21,1,1,1,4549284.749,3926517.2,4244573.618,1,1,49656.77964
404.1313,3.82,629567.0469,851182.0307,764773.1133,2238880.383,2858663.417,2541360.202,959532.7933,1132244.031,1077139.974
354.2187,14.05,1934470.477,1754312.504,1859582.427,763886.0811,3582405.091,2286939.418,756047.0825,296356.0652,421017.5214
112.0163,1.24,380516.0181,463425.0838,433801.3637,2433084.562,2865344.313,2685001.968,1083549.206,1239011.242,749986.9392
594.2803,11.54,3189653.448,2040093.848,2672082.219,2616324.445,4077668.432,3341378.088,1068299.721,1170528.753,1141934.769
335.1002,7.68,1274997.854,1120347.112,1162946.519,1602032.03,2309337.402,2026349.188,681657.8368,779232.1751,575850.8572
