Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
357.1998,1.39,15864,20747,18438,20057,18527
358.1503,1.65,8747,8779,9298,9733,7237
358.2213,2.14,29185,41241,46313,43022,45597
358.2315,2.63,63270,70056,68995,73107,71042
358.2366,0.37,35799,41794,34900,36874,35298
359.2049,2.25,40994,40562,36625,33262,37382
359.9494,1.72,4500,5362,8394,7341,7810
359.9504,1.91,14346,12019,23701,22775,51793
364.098,2.31,16401,12517,20174,10275,17434
364.2382,0.36,41123,42970,45436,45559,40738
365.2781,0.4,360670,36046,227848,201052,515810
365.9682,1.72,33425,35546,38680,30602,41125
365.9688,1.84,36733,40882,45727,50940,54515
366.2616,0.39,1626999,1573850,1622693,1689195,1292888
366.2631,0.55,14077,18929,44353,1929557,42360
366.3264,0.36,12987,12816,12960,13546,16058
367.0252,2.9,9934,17488,20723,23142,26700
368.3452,0.37,69686,69264,62691,62042,58965
369.2737,0.38,80683,75684,85941,76391,83079
370.2316,0.37,15660,14155,13679,12065,19661
370.9555,1.68,9347,9637,10617,9862,10120
372.2131,0.37,12294,14437,17332,10229,12045
375.1998,2.47,8326,11021,9225,7045,10771
375.2958,0.37,53726,59683,53578,53772,88828
376.2211,0.36,17259,18797,17048,19327,17425
377.2768,0.39,71288,72138,52881,13526,5879
379.021,1.97,13578,18582,20419,21326,18403
379.2489,1.44,7400,18563,5801,6569,8426
379.2492,1.51,22293,12310,11869,13597,8979
381.2729,0.38,111499,108457,109761,109969,102700
382.015,2.02,11461,11353,10258,13012,12284
382.3923,0.84,25541,16190,13956,8647,35642
383.253,0.38,38308,46851,30585,34791,35685
383.2885,0.39,2259928,2213696,1914246,2177122,2146084
384.9369,1.65,6122,6444,6032,5414,4302
385.2954,0.39,94880,88603,84208,85818,82648
386.3873,0.7,288947,298797,316856,289966,301850
386.9287,1.67,19785,19515,19605,20508,20218
388.9442,1.68,18651,19957,18557,19854,19033
389.0441,1.82,6758,11886,10717,6838,12674
390.2022,0.37,15399,12088,15363,17327,9063
390.9434,1.67,7157,7578,7052,7674,9229
391.8987,1.69,2385,3471,3990,4528,4685
392.2794,0.36,34284,38095,35519,36674,32950
392.9424,1.68,10458,9817,11299,10922,11901
393.2109,2.48,11456,11515,11489,11981,12329
393.3466,0.36,14762,16611,16682,16056,17832
394.0007,1.66,3871,4438,3747,3352,3657
394.9536,1.67,9796,10617,10743,11335,10158
395.2857,0.37,63483,130045,85435,128867,131196
396.2287,0.37,24857,19366,19400,23859,22750
396.88,1.68,9472,10478,8848,7675,9254
397.2669,0.37,232700,228813,219728,220225,221663
398.2445,0.36,63501,55777,56806,61282,63226
399.2978,0.37,45186,60580,45089,55866,45315
400.9077,1.65,5401,7234,5052,6555,5690
401.2262,1.39,24544,14506,19345,19718,25597
401.2639,2.64,62677,66496,71556,75785,77924
401.2766,0.37,93503,101503,90753,111362,96526
402.0031,2.01,8483,8359,8552,7540,7394
402.2477,2.16,60502,56994,52567,60351,59671
402.382,0.89,160686,150129,151713,150814,148785
405.0366,1.73,25728,26562,14189,25609,17820
405.8203,1.68,5270,6076,8566,5850,5657
407.0527,1.72,25273,25484,23170,26327,25987
407.8176,1.68,5106,3784,4248,4241,4060
407.8715,1.69,4086,10451,12207,12482,17560
407.9519,1.73,19017,21780,6406,9685,6797
411.3189,0.38,37025,26929,32085,40162,40028
411.3349,0.5,57065,44009,38297,35224,48832
412.2238,0.38,12170,14514,20174,17150,17705
412.4026,0.69,338832,324596,196828,318625,224015
413.2928,1.18,16744,16840,16208,19219,16930
413.8899,1.6,8596,7894,11546,9494,10275
413.8901,1.69,25228,34313,26913,27591,24482
414.418,0.7,210789,164241,284483,250426,246704
414.9871,1.84,15143,16492,18101,17207,18099
415.8872,1.69,7884,12573,8995,12225,9956
416.0565,0.36,15726,15911,14197,16764,13933
417.9818,1.74,29594,43646,36361,32241,31017
417.9825,1.82,63366,43725,36361,12154,12725
419.016,1.88,6889,7230,7012,8710,8623
419.8946,2.88,6601,6737,7230,8300,8186
420.282,0.37,132088,122941,132020,124784,122254
422.2916,0.36,43964,50852,44438,38790,43718
424.2301,2.16,29493,42422,37215,27976,38104
424.3145,0.39,305982,275961,317962,302590,315677
425.1294,2.27,6087,8179,7139,8102,7173
426.2955,2.51,18399,20269,17018,17089,13543
427.3143,0.37,131926,148067,126915,130621,143869
428.2747,0.37,26112,21580,18314,18611,19348
428.2804,0.55,29015,10898,26876,41374,39863
428.3642,0.36,55094,55715,41083,45030,59076
428.3985,0.86,174715,185273,165362,160888,160830
429.8638,1.61,8140,8492,7823,8770,7543
