Mass (avg),RT (avg),[Area] QC1-NEG,[Area] QC2-NEG,[Area] QC3-NEG,[Area] QC4-NEG,[Area] QC5-NEG
466.3657,0.44,80642,78773,39345,79565,38424
470.0367,1.8,842058,1077276,3872859,3120700,3158434
474.2901,0.37,40284,45278,39086,38708,36694
475.3006,2.67,12146,14763,15087,13086,14402
482.3604,0.44,41309,49537,61934,61821,45629
486.0102,1.7,356129,386544,378305,418710,405184
486.3928,0.45,27004,21650,30436,23541,11070
492.3813,0.46,74381,78356,56595,65132,74705
494.3967,0.45,80039,69569,65913,61792,68659
496.4123,0.46,62748,50082,56389,28012,54256
499.9373,0.35,8712,9202,8299,8655,9788
500.3319,2.71,79174,82911,88126,86487,80541
508.2292,0.93,98364,1932,65039,29964,33892
510.3917,0.45,63874,18984,52964,41623,53451
518.3428,2.68,20745,19153,19773,21486,23740
520.4126,0.46,91382,93269,69123,91494,43372
527.0933,1.66,11444,15270,17623,20121,19948
527.0936,1.79,10197,16567,20327,18179,19649
531.3086,0.45,153972,124557,41581,84483,121034
531.3088,1.08,255718,233936,413318,266014,182739
532.3432,2.64,8931,9884,9550,8751,10109
533.3062,0.45,61598,59591,30275,50554,62094
533.3065,0.57,17142,1385,34415,9004,54180
533.3066,1.08,79737,78822,57941,97063,95110
536.3087,2.2,11396,15108,12416,12481,11653
538.0236,1.76,195709,139585,132555,126636,109854
538.4236,0.44,90179,192325,197643,182923,48025
540.439,0.44,176466,195103,188262,202951,195685
542.367,0.38,17268,17593,15906,17203,16976
544.3223,2.62,16678,19134,12514,17555,20357
552.0403,1.81,2524105,3086070,2505555,2585009,2530690
553.9988,1.7,13968,22565,18355,8984,15099
554.3426,2.69,14150,16739,17113,13401,15470
555.3091,0.46,50484,38825,52166,37489,52887
555.3093,1.06,42914,30202,47739,55648,56613
555.3533,0.57,206129,284165,16533,13992,40098
555.3536,0.39,206129,284169,214390,188266,239518
555.3538,1.08,37207,25921,32412,31349,23392
557.3241,0.45,47211,51807,51487,47087,26227
558.4647,0.45,189014,190097,206705,90331,146100
558.4651,0.53,72607,34965,37530,87704,114326
559.3402,1.05,66075,91349,73200,89861,109493
559.3405,0.45,26478,37654,36085,28821,25988
560.4805,0.45,72726,26667,92491,62600,27053
561.338,0.45,24946,10703,20234,18355,17231
566.4539,0.45,33780,24187,36672,37448,43632
568.0132,1.7,393325,403472,392144,401112,408957
568.4703,0.45,59643,66967,56180,74890,67579
572.3532,2.67,40216,40956,37176,42140,44557
574.3684,2.69,41927,45151,50564,42601,47572
574.4594,0.45,101421,109039,149407,138954,49532
576.4752,0.45,162771,158637,152824,166212,164148
579.3535,0.39,74496,77131,56043,71081,66546
580.507,0.38,12491,12821,12946,18565,11002
581.3699,0.39,60186,34509,61089,70642,58369
583.385,0.39,82165,95657,72907,90903,92318
590.4546,0.45,46841,24738,44161,46548,29419
592.4705,0.44,152109,169696,159958,81839,161238
594.4857,0.45,392914,345452,403376,371043,366675
596.5012,0.45,389009,393920,427941,369940,455945
603.3541,0.39,23184,20012,23433,25648,22104
609.0968,1.66,15373,11929,15018,16459,7728
609.0978,1.77,18504,16635,16005,14395,10089
620.0267,1.75,159108,116773,71618,106978,80111
628.3794,2.1,25600,17402,21879,25976,14282
629.3266,1.08,30343,34059,28579,31295,30956
634.0427,1.68,349800,369406,391273,415637,430631
634.043,1.81,2198728,2261439,1924461,2344913,1910715
637.3562,0.4,11418,10548,10184,11541,10458
650.0162,1.7,337047,334202,338809,347703,352426
652.0169,1.7,44241,30898,43028,44351,44462
665.9899,1.7,77157,81166,79197,75955,77574
667.9878,1.7,22795,20903,19086,21706,20308
670.4378,2.68,10353,10402,13174,11342,12342
691.1005,1.66,13547,14741,14502,14842,14870
691.1009,1.79,16619,18326,14870,16596,15208
702.0303,1.75,146493,100200,110153,83762,104923
716.0457,1.81,1565509,1871939,1900345,1915435,1592995
716.0458,1.68,269111,295919,575801,314462,340374
732.0193,1.69,275600,284568,284520,291490,299290
734.0215,1.7,38138,38391,42509,44209,42350
